time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-19T17:34:18.865Z,59.4294,-152.4085,75.3,1.6,ml,,,,0.52,ak,ak0216e60xrc,2021-05-19T17:40:06.654Z,"28 km WNW of Nanwalek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-05-19T17:12:09.810Z,38.8030014,-122.809166,1.47,0.74,md,6,101,0.01191,0.02,nc,nc73564670,2021-05-19T19:23:19.938Z,"5km WNW of The Geysers, CA",earthquake,0.77,0.89,0.11,2,automatic,nc,nc
2021-05-19T16:58:01.750Z,44.4561667,-115.2105,3.77,1.67,ml,7,117,0.38,0.21,mb,mb80502709,2021-05-19T17:59:41.100Z,"34 km NW of Stanley, Idaho",earthquake,0.71,3.42,0.252,7,reviewed,mb,mb
2021-05-19T16:57:01.881Z,59.8605,-153.4697,132.2,1.7,ml,,,,0.76,ak,ak0216e5kea4,2021-05-19T17:08:03.145Z,"36 km ENE of Pedro Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-05-19T16:54:29.820Z,28.271,84.3546,10,4.5,mb,,159,2.192,0.81,us,us7000e4ij,2021-05-20T02:16:35.497Z,"Nepal",earthquake,8.8,1.9,0.082,43,reviewed,us,us
2021-05-19T16:53:54.960Z,45.3601666666667,-121.696,2.19,0.81,ml,10,63,0.006909,0.08,uw,uw61724452,2021-05-19T18:23:56.330Z,"7 km NE of Government Camp, Oregon",earthquake,0.25,0.61,0.157235892820372,4,reviewed,uw,uw
2021-05-19T16:51:28.940Z,45.3588333333333,-121.697333333333,2.66,1.07,ml,10,64,0.005789,0.06,uw,uw61724447,2021-05-19T18:11:13.410Z,"Washington-Oregon border region",earthquake,0.27,0.49,0.101214114233806,5,reviewed,uw,uw
2021-05-19T16:47:28.883Z,-7.57,127.5045,167.75,4.3,mb,,135,3.782,0.82,us,us7000e4ih,2021-05-19T22:13:45.040Z,"119 km NNE of Lospalos, Timor Leste",earthquake,11.5,10,0.147,13,reviewed,us,us
2021-05-19T16:47:24.688Z,63.1741,-149.8409,92.4,1.3,ml,,,,0.47,ak,ak0216e5iavo,2021-05-19T17:08:03.003Z,"50 km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-05-19T16:43:51.020Z,44.4553333,-115.2033333,3.28,1.95,ml,9,79,0.381,0.21,mb,mb80502704,2021-05-19T18:15:27.020Z,"33 km NW of Stanley, Idaho",earthquake,0.56,3.03,0.111,9,reviewed,mb,mb
2021-05-19T16:40:21.749Z,12.623,-88.2686,60.17,4.3,mb,,165,0.842,0.67,us,us7000e4ig,2021-05-19T16:53:13.040Z,"67 km SSW of Chirilagua, El Salvador",earthquake,4.4,8.7,0.084,40,reviewed,us,us
2021-05-19T16:38:16.650Z,19.2031669616699,-155.40983581543,33.5200004577637,2.14,ml,38,198,,0.119999997,hv,hv72475452,2021-05-19T16:43:47.230Z,"7 km E of Pāhala, Hawaii",earthquake,0.74,0.680000007,0.56,3,automatic,hv,hv
2021-05-19T16:34:47.059Z,-23.788,179.1634,545.56,4.4,mb,,127,6.102,0.88,us,us7000e4im,2021-05-19T21:56:24.040Z,"south of the Fiji Islands",earthquake,12.3,7.4,0.095,32,reviewed,us,us
2021-05-19T16:34:06.060Z,19.2238330841064,-155.404998779297,34.9799995422363,1.8,ml,34,189,,0.129999995,hv,hv72475447,2021-05-19T16:39:36.050Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.61,0.850000024,0.78,4,automatic,hv,hv
2021-05-19T16:33:16.820Z,35.6276667,-117.4756667,3.01,0.99,ml,16,108,0.1368,0.13,ci,ci39658575,2021-05-19T20:15:55.686Z,"17km SSW of Searles Valley, CA",earthquake,0.27,0.98,0.086,7,reviewed,ci,ci
2021-05-19T16:30:08.976Z,63.0171,-150.887,95.3,1.6,ml,,,,0.81,ak,ak0216e5emht,2021-05-19T17:08:02.854Z,"58 km N of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-05-19T16:29:18.920Z,33.714,-117.3311667,-0.66,0.91,ml,18,76,0.0585,0.2,ci,ci39658567,2021-05-19T20:11:32.901Z,"5km N of Lake Elsinore, CA",quarry blast,0.47,31.61,0.077,10,reviewed,ci,ci
2021-05-19T16:20:54.290Z,38.7861671,-122.7705002,1.54,0.46,md,9,106,0.01531,0.02,nc,nc73564655,2021-05-19T18:42:19.677Z,"2km NW of The Geysers, CA",earthquake,0.34,0.62,0.1,2,automatic,nc,nc
2021-05-19T16:08:27.652Z,-41.2879,85.7034,10,5.5,mww,,60,27.488,0.97,us,us7000e4i7,2021-05-19T18:11:29.788Z,"southeast Indian Ridge",earthquake,11.3,1.8,0.066,22,reviewed,us,us
2021-05-19T16:06:25.050Z,45.3608333333333,-121.692666666667,2.88,0.72,ml,9,65,0.00935,0.07,uw,uw61724432,2021-05-19T16:55:46.450Z,"7 km NE of Government Camp, Oregon",earthquake,0.25,0.34,0.133449021757642,4,reviewed,uw,uw
2021-05-19T16:02:19.668Z,69.5916,-143.4757,12.8,2.5,ml,,,,0.61,ak,ak0216e58n9q,2021-05-19T16:06:58.463Z,"60 km S of Kaktovik, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-05-19T15:58:52.090Z,38.8136673,-122.805336,1.52,2.07,md,28,57,0.009687,0.06,nc,nc73564645,2021-05-19T17:49:20.334Z,"6km NW of The Geysers, CA",earthquake,0.18,0.3,0.09,12,automatic,nc,nc
2021-05-19T15:52:16.839Z,36.41283333,-96.88483333,5.12,0.39,ml,18,129,0.05128993517,0.09,ok,ok2021jtiv,2021-05-19T16:28:37.943Z,"11 km NW of Pawnee, Oklahoma",earthquake,,0.7,0.27,9,reviewed,ok,ok
2021-05-19T15:41:57.850Z,19.3956666666667,-155.287666666667,0.11,0.61,md,13,77,,0.08,hv,hv72475407,2021-05-19T19:14:46.940Z,"7 km SW of Volcano, Hawaii",earthquake,0.17,0.21,0.0953651011071916,4,reviewed,hv,hv
2021-05-19T15:41:30.885Z,61.5898,-147.381,28.2,0.8,ml,,,,0.42,ak,ak0216e4vlgg,2021-05-19T15:44:45.971Z,"28 km SSE of Glacier View, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-05-19T15:38:35.370Z,34.0901667,-116.41,10.95,0.77,ml,8,105,0.02665,0.11,ci,ci39658479,2021-05-19T18:51:49.411Z,"3km SE of Yucca Valley, CA",earthquake,0.31,0.53,0.195,4,reviewed,ci,ci
2021-05-19T15:24:49.222Z,-10.3918,161.4564,65.71,4.5,mb,,84,1.762,1,us,us7000e4hv,2021-05-19T21:38:07.040Z,"51 km W of Kirakira, Solomon Islands",earthquake,8.5,6.5,0.084,42,reviewed,us,us
2021-05-19T15:11:42.540Z,34.47,-119.26,2.92,1.47,ml,15,81,0.04238,0.23,ci,ci39658455,2021-05-19T20:56:53.957Z,"3km NNW of Ojai, CA",earthquake,0.36,0.43,0.206,8,reviewed,ci,ci
2021-05-19T15:06:54.497Z,-28.3749,-63.3188,598.88,5.1,mww,,43,5.378,0.71,us,us7000e4gi,2021-05-19T16:23:59.351Z,"43 km NW of Colonia Dora, Argentina",earthquake,8.8,6.3,0.08,15,reviewed,us,us
2021-05-19T15:04:25.280Z,37.5123333,-118.8473333,-0.84,0.82,md,13,233,0.0789,0.05,nc,nc73564635,2021-05-19T17:09:19.098Z,"16km WSW of Toms Place, CA",earthquake,0.56,31.61,0.085,10,reviewed,nc,nc
2021-05-19T15:02:26.568Z,38.7401,-118.6247,4.1,1.4,ml,19,112.54,0.379,0.135,nn,nn00807598,2021-05-19T17:13:28.733Z,"15 km NE of Walker Lake, Nevada",earthquake,,2,0.32,9,reviewed,nn,nn
2021-05-19T14:55:50.680Z,19.208,-155.446666666667,37.16,2.21,ml,58,121,,0.1,hv,hv72475357,2021-05-19T16:14:54.880Z,"3 km E of Pāhala, Hawaii",earthquake,0.47,0.62,0.261074674104112,11,reviewed,hv,hv
2021-05-19T14:38:59.050Z,19.2024993896484,-155.443161010742,36.5099983215332,1.75999999,md,44,127,,0.109999999,hv,hv72475347,2021-05-19T14:42:18.480Z,"3 km E of Pāhala, Hawaii",earthquake,0.55,0.769999981,0.129999995,5,automatic,hv,hv
2021-05-19T14:21:51.453Z,63.3181,-151.7529,0,1.4,ml,,,,0.88,ak,ak0216e45x2n,2021-05-19T14:35:18.533Z,"24 km S of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-05-19T14:10:06.970Z,38.8346672,-122.7623367,0.97,0.86,md,10,105,0.007251,0.02,nc,nc73564625,2021-05-19T15:16:19.741Z,"4km WNW of Cobb, CA",earthquake,0.33,0.62,0.14,3,automatic,nc,nc
2021-05-19T14:04:53.480Z,35.7785,-117.5916667,7.84,1.29,ml,23,57,0.03746,0.14,ci,ci39658383,2021-05-19T18:40:31.082Z,"17km W of Searles Valley, CA",earthquake,0.23,0.46,0.219,14,reviewed,ci,ci
